QuestionNumber | Module | TopicCode | TopicName | AssessmentCriterion | QuestionType | Stem | OptionA | OptionB | OptionC | OptionD | OptionE | CorrectAnswer | Marks | BloomLevel
85 | KM-03 | KT0306 | Grinding Operations | Safety | MCQ | Grinding sparks should be directed: | Toward the operator | Toward flammable materials | Away from the operator | Upwards | Into coolant | C | 1 | Apply
86 | KM-03 | KT0306 | Grinding Operations | Safety | TF | Gloves must not be worn when using a bench grinder. | True | False |  |  |  | A | 1 | Remember
87 | KM-03 | KT0305 | Grinding Operations | Operations | MCQ | Excessive heat during grinding may cause: | Better finish | Burn marks | Faster cutting | Wheel balancing | Increased accuracy | B | 1 | Understand
88 | KM-03 | KT0305 | Grinding Operations | Operations | TF | Coolant helps reduce heat and improve surface finish. | True | False |  |  |  | A | 1 | Understand
89 | KM-03 | KT0303 | Grinding Operations | Wheel selection | MCQ | A soft wheel is preferred when grinding: | Hard materials | Soft materials | Plastic | Rubber | Wood | A | 1 | Apply
90 | KM-03 | KT0303 | Grinding Operations | Wheel selection | TF | Hard wheels are used for grinding soft materials. | True | False |  |  |  | A | 1 | Understand
121 | KM-03 | KT0501 | Feeds & Speeds | Cutting speed | MCQ | Cutting speed refers to: | Tool rotation | Workpiece rotation | Surface speed of the cutting edge | Feed per revolution | Chip thickness | C | 1 | Understand
122 | KM-03 | KT0501 | Feeds & Speeds | Cutting speed | TF | Cutting speed is measured in metres per minute (m/min). | True | False |  |  |  | A | 1 | Remember
123 | KM-03 | KT0501 | Feeds & Speeds | Cutting speed | MCQ | Increasing cutting speed generally: | Reduces heat | Increases heat | Reduces tool wear | Stops chip formation | Increases coolant flow | B | 1 | Understand
124 | KM-03 | KT0501 | Feeds & Speeds | Cutting speed | TF | Harder materials require lower cutting speeds. | True | False |  |  |  | A | 1 | Understand
125 | KM-03 | KT0502 | Feeds & Speeds | Feed rate | MCQ | Feed rate is defined as: | Tool movement per minute | Tool movement per revolution | Workpiece diameter | Chip thickness | Tool angle | B | 1 | Remember
126 | KM-03 | KT0502 | Feeds & Speeds | Feed rate | TF | Too high a feed rate can cause poor surface finish. | True | False |  |  |  | A | 1 | Apply
127 | KM-03 | KT0502 | Feeds & Speeds | Feed rate | MCQ | Feed rate is measured in: | mm/min | mm/rev | rpm | m/s | N/mm˝ | B | 1 | Remember
128 | KM-03 | KT0502 | Feeds & Speeds | Feed rate | TF | Low feed rates produce thinner chips. | True | False |  |  |  | A | 1 | Understand
129 | KM-03 | KT0503 | Feeds & Speeds | Depth of cut | MCQ | Depth of cut refers to: | Width of chip | Thickness of chip | Amount of material removed per pass | Tool angle | Tool radius | C | 1 | Understand
130 | KM-03 | KT0503 | Feeds & Speeds | Depth of cut | TF | Increasing depth of cut increases cutting forces. | True | False |  |  |  | A | 1 | Understand
131 | KM-03 | KT0503 | Feeds & Speeds | Depth of cut | MCQ | Roughing cuts generally use: | Low feed, low depth | High feed, high depth | Low feed, high depth | High feed, low depth | No feed | B | 1 | Apply
132 | KM-03 | KT0503 | Feeds & Speeds | Depth of cut | TF | Finishing cuts use small depths of cut. | True | False |  |  |  | A | 1 | Remember
133 | KM-03 | KT0504 | Feeds & Speeds | Chip formation | MCQ | Continuous chips are produced when: | Feed is too high | Cutting speed is too low | Cutting conditions are ideal | Tool is blunt | Coolant is absent | C | 1 | Understand
134 | KM-03 | KT0504 | Feeds & Speeds | Chip formation | TF | Built?up edge forms at low cutting speeds. | True | False |  |  |  | A | 1 | Understand
135 | KM-03 | KT0504 | Feeds & Speeds | Chip formation | MCQ | Discontinuous chips are common when machining: | Soft materials | Ductile materials | Brittle materials | Plastics | Aluminium | C | 1 | Understand
136 | KM-03 | KT0504 | Feeds & Speeds | Chip formation | TF | Chip breakers help control long, continuous chips. | True | False |  |  |  | A | 1 | Apply
137 | KM-03 | KT0505 | Feeds & Speeds | Cutting forces | MCQ | Cutting forces increase when: | Feed decreases | Depth of cut increases | Tool is sharp | Coolant is used | Speed increases | B | 1 | Understand
138 | KM-03 | KT0505 | Feeds & Speeds | Cutting forces | TF | Blunt tools increase cutting forces. | True | False |  |  |  | A | 1 | Understand
139 | KM-03 | KT0505 | Feeds & Speeds | Cutting forces | MCQ | Excessive cutting forces may cause: | Better finish | Tool breakage | Lower temperature | Reduced vibration | Increased accuracy | B | 1 | Apply
140 | KM-03 | KT0505 | Feeds & Speeds | Cutting forces | TF | High cutting forces can damage machine bearings. | True | False |  |  |  | A | 1 | Understand
141 | KM-03 | KT0506 | Feeds & Speeds | Speed formulas | MCQ | Spindle speed (rpm) depends on cutting speed and: | Tool angle | Workpiece hardness | Workpiece diameter | Coolant type | Machine size | C | 1 | Remember
142 | KM-03 | KT0506 | Feeds & Speeds | Speed formulas | TF | Larger diameters require lower spindle speeds. | True | False |  |  |  | A | 1 | Understand
143 | KM-03 | KT0506 | Feeds & Speeds | Speed formulas | MCQ | Cutting speed increases when: | Diameter decreases | Diameter increases | Feed increases | Coolant increases | Tool height changes | A | 1 | Understand
144 | KM-03 | KT0506 | Feeds & Speeds | Speed formulas | TF | Spindle speed is inversely proportional to workpiece diameter. | True | False |  |  |  | A | 1 | Understand
145 | KM-03 | KT0507 | Feeds & Speeds | Efficiency | MCQ | Machining efficiency improves when: | Using blunt tools | Using incorrect speeds | Using optimal cutting parameters | Removing coolant | Reducing feed to zero | C | 1 | Apply
146 | KM-03 | KT0507 | Feeds & Speeds | Efficiency | TF | Correct cutting parameters reduce tool wear. | True | False |  |  |  | A | 1 | Understand
147 | KM-03 | KT0507 | Feeds & Speeds | Efficiency | MCQ | Poor surface finish is often caused by: | Correct feed | Correct speed | Excessive feed | Sharp tools | Proper coolant | C | 1 | Apply
148 | KM-03 | KT0507 | Feeds & Speeds | Efficiency | TF | Excessive spindle speed can cause burning of the workpiece. | True | False |  |  |  | A | 1 | Understand
149 | KM-03 | KT0507 | Feeds & Speeds | Efficiency | MCQ | Tool life is MOST affected by: | Cutting speed | Machine colour | Operator height | Coolant smell | Workpiece paint | A | 1 | Understand
150 | KM-03 | KT0507 | Feeds & Speeds | Efficiency | TF | Lower cutting speeds generally increase tool life. | True | False |  |  |  | A | 1 | Remember
151 | KM-03 | KT0601 | Workholding & Toolholding | Workholding | MCQ | Which device is commonly used to hold workpieces on a milling machine? | Lathe chuck | Machine vice | Magnetic chuck | Collet | Tailstock | B | 1 | Remember
152 | KM-03 | KT0601 | Workholding & Toolholding | Workholding | TF | A machine vice must be securely clamped to the table before machining. | True | False |  |  |  | A | 1 | Apply
153 | KM-03 | KT0601 | Workholding & Toolholding | Workholding | MCQ | T?slots on a milling table are used for: | Coolant drainage | Mounting clamps and fixtures | Tool storage | Chip removal | Lubrication | B | 1 | Understand
154 | KM-03 | KT0601 | Workholding & Toolholding | Workholding | TF | Clamps and step blocks are used to secure irregular workpieces. | True | False |  |  |  | A | 1 | Apply
155 | KM-03 | KT0601 | Workholding & Toolholding | Workholding | MCQ | A magnetic chuck is commonly used on: | Milling machines | Surface grinders | Lathes | Drilling machines | Band saws | B | 1 | Remember
156 | KM-03 | KT0601 | Workholding & Toolholding | Workholding | TF | Magnetic chucks are suitable for holding ferrous materials only. | True | False |  |  |  | A | 1 | Understand
157 | KM-03 | KT0601 | Workholding & Toolholding | Workholding | MCQ | Soft jaws are used in a chuck to: | Increase speed | Improve accuracy on irregular shapes | Reduce coolant usage | Increase vibration | Hold tools | B | 1 | Apply
158 | KM-03 | KT0601 | Workholding & Toolholding | Workholding | TF | Soft jaws can be machined to match the workpiece profile. | True | False |  |  |  | A | 1 | Apply
159 | KM-03 | KT0602 | Workholding & Toolholding | Toolholding | MCQ | A collet is used to: | Hold large workpieces | Hold small round tools or workpieces | Hold coolant | Hold clamps | Hold parallels | B | 1 | Remember
160 | KM-03 | KT0602 | Workholding & Toolholding | Toolholding | TF | Collets provide better concentricity than standard chucks. | True | False |  |  |  | A | 1 | Understand
161 | KM-03 | KT0602 | Workholding & Toolholding | Toolholding | MCQ | The toolpost on a lathe is used to: | Hold the workpiece | Hold the cutting tool | Hold the chuck | Hold the tailstock | Hold the coolant hose | B | 1 | Remember
162 | KM-03 | KT0602 | Workholding & Toolholding | Toolholding | TF | A quick?change toolpost allows fast tool changes. | True | False |  |  |  | A | 1 | Apply
163 | KM-03 | KT0602 | Workholding & Toolholding | Toolholding | MCQ | End mill holders are used on: | Lathes | Milling machines | Grinders | Drills | Shapers | B | 1 | Remember
164 | KM-03 | KT0602 | Workholding & Toolholding | Toolholding | TF | End mill holders use a set screw to secure the tool. | True | False |  |  |  | A | 1 | Understand
165 | KM-03 | KT0603 | Workholding & Toolholding | Alignment | MCQ | Workpiece alignment in a vice is checked using a: | Hammer | Vernier caliper | Dial indicator | Feeler gauge | Micrometer | C | 1 | Apply
166 | KM-03 | KT0603 | Workholding & Toolholding | Alignment | TF | A dial indicator can be used to ensure a vice is square to the table. | True | False |  |  |  | A | 1 | Apply
167 | KM-03 | KT0603 | Workholding & Toolholding | Alignment | MCQ | Parallels are used to: | Increase cutting speed | Raise the workpiece in the vice | Reduce vibration | Hold tools | Measure depth | B | 1 | Understand
168 | KM-03 | KT0603 | Workholding & Toolholding | Alignment | TF | Parallels ensure the workpiece sits level and clear of the vice jaws. | True | False |  |  |  | A | 1 | Apply
169 | KM-03 | KT0604 | Workholding & Toolholding | Fixtures | MCQ | A jig differs from a fixture because it: | Holds the tool | Guides the tool | Holds the workpiece only | Reduces speed | Controls coolant | B | 1 | Understand
170 | KM-03 | KT0604 | Workholding & Toolholding | Fixtures | TF | Fixtures are used to hold workpieces in a fixed position. | True | False |  |  |  | A | 1 | Remember
171 | KM-03 | KT0604 | Workholding & Toolholding | Fixtures | MCQ | A drill jig is used to: | Hold drills | Guide drills for accurate hole placement | Increase spindle speed | Reduce chip load | Hold coolant | B | 1 | Apply
172 | KM-03 | KT0604 | Workholding & Toolholding | Fixtures | TF | Jigs improve accuracy and repeatability. | True | False |  |  |  | A | 1 | Understand
173 | KM-03 | KT0605 | Workholding & Toolholding | Safety | MCQ | Which action is unsafe when clamping a workpiece? | Using parallels | Tightening clamps securely | Leaving workpiece loose | Using step blocks | Checking alignment | C | 1 | Remember
174 | KM-03 | KT0605 | Workholding & Toolholding | Safety | TF | A loose workpiece can be thrown from the machine. | True | False |  |  |  | A | 1 | Understand
175 | KM-03 | KT0605 | Workholding & Toolholding | Safety | MCQ | Before adjusting a toolholder, the operator must: | Increase speed | Stop the machine | Add coolant | Remove parallels | Raise the table | B | 1 | Apply
176 | KM-03 | KT0605 | Workholding & Toolholding | Safety | TF | Tools must be tightened securely to prevent slipping. | True | False |  |  |  | A | 1 | Apply
177 | KM-03 | KT0605 | Workholding & Toolholding | Safety | MCQ | When using a magnetic chuck, the operator must: | Wear gloves | Ensure the magnet is fully engaged | Use coolant only | Tap the workpiece with a hammer | Increase spindle speed | B | 1 | Apply
178 | KM-03 | KT0605 | Workholding & Toolholding | Safety | TF | Workpieces must be demagnetized after grinding. | True | False |  |  |  | A | 1 | Understand
179 | KM-03 | KT0601 | Workholding & Toolholding | Workholding | MCQ | A four?jaw chuck is ideal for: | Perfectly round workpieces | Irregular or square workpieces | Only soft materials | Only high?speed turning | Grinding operations | B | 1 | Apply
180 | KM-03 | KT0601 | Workholding & Toolholding | Workholding | TF | A four?jaw chuck allows independent adjustment of each jaw. | True | False |  |  |  | A | 1 | Remember
181 | KM-03 | KT0701 | Surface Finish & Tolerances | Surface finish | MCQ | Surface roughness is measured in: | Micrometres (Êm) | Millimetres | Degrees | Newtons | RPM | A | 1 | Remember
182 | KM-03 | KT0701 | Surface Finish & Tolerances | Surface finish | TF | A lower Ra value indicates a smoother surface. | True | False |  |  |  | A | 1 | Understand
183 | KM-03 | KT0701 | Surface Finish & Tolerances | Surface finish | MCQ | A roughing cut typically produces: | Very smooth finish | Medium finish | Rough finish | Mirror finish | No finish | C | 1 | Understand
184 | KM-03 | KT0701 | Surface Finish & Tolerances | Surface finish | TF | Finishing cuts use low feed and shallow depth of cut. | True | False |  |  |  | A | 1 | Apply
185 | KM-03 | KT0702 | Surface Finish & Tolerances | Measurement | MCQ | A surface roughness tester is called a: | Micrometer | Profilometer | Vernier | Comparator | Indicator | B | 1 | Remember
186 | KM-03 | KT0702 | Surface Finish & Tolerances | Measurement | TF | Surface finish can be compared using surface roughness comparison plates. | True | False |  |  |  | A | 1 | Understand
187 | KM-03 | KT0702 | Surface Finish & Tolerances | Measurement | MCQ | A profilometer measures: | Diameter | Surface texture | Hardness | Length | Angle | B | 1 | Understand
188 | KM-03 | KT0702 | Surface Finish & Tolerances | Measurement | TF | Surface finish affects friction and wear. | True | False |  |  |  | A | 1 | Understand
